업소명,도로명주소,연락처,메뉴1,메뉴2,메뉴3,메뉴4,메뉴5,메뉴6
뜰안채,광주광역시 동구 문화전당로26번길 10-12,062-234-8118,한정식,,,,,
가족,광주광역시 동명로 50,062-222-3845,한정식,,,,,
광양숯불구이,광주광역시 동구 필문대로 229 ,062-226-8080,소갈비,,,,,
관가,광주광역시 동구 의재로96번길 18 ,062-226-0040,오리구이,,,,,
소나무,광주광역시 동구 갈마로 50,062-251-3900,소갈비,,,,,
동원게장백반,광주광역시 동구 지호로 128 ,062-223-7200,게장백반,,,,,
민속식당,광주광역시 동구 문화전당로 37-2,062-227-2003,돼지갈비,,,,,
유생촌,광주광역시 동구 충장로2가 3-2,062-222-5200,돈까스,,,,,
아리랑하우스,광주광역시 동구 무등로321번길 2,062-529-2888,한정식,,,,,
신락원,광주광역시 동구 충장로5가 43,062-225-9408,중식,,,,,
쌍학,광주광역시 동구 구성로152번길 13 ,062-223-4159,생선회,,,,,
제일중화요리,광주광역시 동구 구성로 174 (금남로5가),062-223-6395,석화짬뽕,제일짜장,산향갈비,제일삼선짬뽕,삼선삭스핀,
백운산,광주광역시 동구 구성로194번길 29 (대인동),062-222-4569,생대구탕,민어탕,돌솥비빔밥,삼겹살,,
제주삼다갈치,"광주광역시 동구 구성로204번길 13 (대인동,(1,2층))",062-233-4747,갈치조림,갈치구이,추어탕,오리로스,대구탕,
찜이랑조림이랑,"광주광역시 동구 구성로204번길 28 (대인동,(1층))",062-225-2332,아구찜,병어조림,갈치조림,고등어조림,조기매운탕,
고려조삼계탕,광주광역시 동구 금남로 231 (금남로2가),062-224-2525,삼계탕,약삼계탕,오골계,,,
꽃담,"광주광역시 동구 금남로193-12(금남로4가, 1층)",062-224-1900,명품꽃살,토시살,안창살.생고기,돼지갈비,,
미도,광주광역시 동구 남문로 682(학동),062-228-0106,사시미,사시미스페셜,참치스페셜,전복사시미,참치VIP,
원조장수,광주광역시 동구 동계천로 12-1 (대인동),062-225-9612,돼지갈비,,,,,
